part_id|part_definition_id|part_product_class_id|common_part_catalog_id|preferred_supplier_id|part_family_id|stock_card_create_date|part_season
60405|9931|579|4|1|2|2012-05-24|NULL
60425|215|299|4|1|1|2014-02-26|NULL
60924|5260|469|4|1|2|2008-07-23|NULL
61265|1900|179|4|1|2|2008-11-05|Kış Mevsimsel
61403|4949|261|4|1|2|2012-08-02|Kış Mevsimsel
61671|1626|662|4|1|2|2004-12-24|NULL
61994|14|466|4|1|2|2008-01-07|NULL
62315|1253|487|4|1|2|2004-12-24|NULL
62366|5191|446|4|1|2|2011-10-03|NULL
62381|6936|469|4|1|2|2008-08-12|NULL
62462|9582|197|4|1|2|2008-08-19|NULL
62644|811|303|4|1|2|2011-01-03|NULL
62682|1639|287|4|1|2|2010-10-12|NULL
62717|9480|424|4|1|2|2009-08-14|NULL
62769|4949|426|4|1|2|2009-10-21|NULL
62864|7203|389|4|1|2|2012-11-23|NULL
62927|2800|467|4|1|2|2011-07-12|NULL
63021|4949|397|4|1|2|2008-11-05|NULL
63030|2567|467|4|1|2|2008-11-05|NULL
63197|3459|262|4|1|1|2013-04-08|NULL
63211|9582|200|4|1|2|2008-11-05|NULL
63308|8529|489|4|1|1|2016-02-25|NULL
63337|6988|349|4|1|1|2015-08-18|NULL
63442|7191|440|9|1|1|2017-09-13|NULL
63548|7455|444|4|1|1|2018-01-09|NULL
63645|7636|422|4|1|2|2007-10-09|NULL
63661|840|425|4|1|2|2007-10-09|NULL
63780|7455|444|4|1|2|2007-10-10|NULL
63853|7188|470|4|1|2|2011-09-30|NULL
63891|5783|493|21|1|2|2009-07-27|NULL
64069|6942|392|4|1|2|2010-11-03|NULL
64352|697|403|4|1|1|2015-02-10|NULL
64382|1734|487|4|1|2|2011-08-11|NULL
64447|5191|447|4|1|2|2011-08-10|NULL
64637|1734|266|4|1|1|2016-03-08|NULL
64718|4379|225|4|1|1|2016-07-20|NULL
64786|4706|283|4|1|1|2017-03-31|NULL
65218|4391|263|4|1|2|2014-08-04|NULL
65275|10218|426|4|1|1|2013-08-02|NULL
65409|695|392|4|1|1|2015-09-29|NULL
65443|1972|459|4|1|1|2013-01-21|NULL
65482|1930|467|4|1|2|2013-05-29|NULL
65537|11585|472|4|1|1|2016-10-10|NULL
